,Country Name,Carbon intensity of electricity - gCO2/kWh
22,ASEAN (Ember),554.26764
47,Afghanistan,125.0
71,Africa,550.2502
95,Africa (Ember),550.2832
120,Albania,24.390245
144,Algeria,633.6503
168,American Samoa,611.1111
192,Angola,172.15483
216,Antigua and Barbuda,611.1111
240,Argentina,392.87186
265,Armenia,240.8907
290,Aruba,550.0
313,Asia,594.30774
337,Asia (Ember),590.86273
362,Australia,577.86163
387,Austria,141.0634
412,Azerbaijan,671.3891
437,Bahamas,653.65857
460,Bahrain,902.7466
484,Bangladesh,676.4792
509,Barbados,605.5046
533,Belarus,439.21463
558,Belgium,139.4042
583,Belize,170.21277
607,Benin,595.95953
631,Bermuda,650.79364
655,Bhutan,24.14113
679,Bolivia,485.86118
704,Bosnia and Herzegovina,683.1804
729,Botswana,847.6563
753,Brazil,103.32709
778,British Virgin Islands,647.05884
802,Brunei,892.8572
826,Bulgaria,476.33255
851,Burkina Faso,568.0473
875,Burundi,230.76924
899,Cambodia,305.16434
924,Cameroon,280.9816
948,Canada,156.79489
973,Cape Verde,480.0
996,Cayman Islands,642.8571
1020,Central African Republic,0.0
1043,Chad,615.38464
1066,Chile,372.80313
1091,China,586.7002
1116,Colombia,202.1482
1141,Comoros,642.8572
1165,Congo,709.3496
1189,Cook Islands,250.0
1212,Costa Rica,24.115757
1237,Cote d'Ivoire,413.16418
1261,Croatia,244.68085
1286,Cuba,640.2556
1310,Cyprus,555.13306
1335,Czechia,488.3554
1360,Democratic Republic of Congo,27.397259
1384,Denmark,201.20033
1409,Djibouti,450.0
1433,Dominica,600.0
1457,Dominican Republic,580.0631
1482,EU (Ember),291.70627
1504,East Timor,666.6667
1528,Ecuador,181.18571
1553,Egypt,574.7312
1578,El Salvador,112.95181
1603,Equatorial Guinea,602.64905
1627,Eritrea,590.90906
1651,Estonia,487.6958
1676,Eswatini,127.27273
1700,Ethiopia,23.549685
1724,Europe,318.9479
1748,Europe (Ember),329.6908
1773,European Union (27),291.70627
1797,Falkland Islands,1000.0
1820,Faroe Islands,354.1667
1843,Fiji,280.37384
1867,Finland,129.83234
1892,France,78.55024
1917,French Guiana,204.08163
1940,French Polynesia,436.61972
1963,G20 (Ember),487.50784
1988,G7 (Ember),375.76334
2013,Gabon,429.46707
2037,Gambia,666.6667
