Country Name,Avg_Household_Size
Afghanistan,8.04
Albania,3.30
Algeria,4.94
Angola,4.82
Argentina,2.95
Armenia,3.54
Aruba,2.89
Australia,2.55
Austria,2.27
Azerbaijan,4.55
Bahamas,3.4
Bangladesh,4.26
Barbados,2.85
Belarus,2.16
Belgium,2.32
Belize,3.75
Benin,5.19
Bermuda,2.26
Bhutan,4.59
Bolivia (Plurinational State of),3.53
Bosnia and Herzegovina,3.5
Botswana,..
Brazil,3.31
Brunei Darussalam,..
Bulgaria,..
Burkina Faso,5.92
Burundi,4.83
Cambodia,4.61
Cameroon,4.99
Canada,2.45
Cayman Islands,..
Central African Republic,5.59
Chad,5.97
Channel Islands,..
Chile,3.04
China,..
"China, Hong Kong SAR",2.83
"China, Macao SAR",3.07
Colombia,3.53
Comoros,5.37
Congo,4.22
Cook Islands,..
Costa Rica,3.21
Croatia,2.8
Cuba,2.71
Cyprus,2.76
Czechia,2.34
Côte d’Ivoire,4.58
Dem. People's Rep. of Korea,3.93
Dem. Republic of the Congo,5.17
Djibouti,5.89
Dominican Republic,3.09
Ecuador,3.78
Egypt,4.13
El Salvador,3.92
Equatorial Guinea,5.3
Estonia,2.3
Eswatini,4.04
Ethiopia,4.73
Fiji,4.57
Finland,2.07
France,2.22
French Guiana,3.45
French Polynesia,..
Gabon,4.1
Gambia,8.07
Georgia,3.42
Germany,2.14
Ghana,3.83
Greece,2.56
Guadeloupe,2.3
Guatemala,4.81
Guinea,6.39
Guinea-Bissau,6.81
Guyana,3.5
Haiti,4.29
Honduras,3.87
Hungary,2.36
India,4.38
Indonesia,3.86
Iran (Islamic Republic of),..
Iraq,6.35
Ireland,2.83
Isle of Man,2.28
Israel,3.14
Italy,2.4
Jamaica,3.06
Japan,2.33
Jordan,4.72
Kazakhstan,3.44
Kenya,3.75
Kiribati,5.9
Kosovo (under UNSC res. 1244),4.9
Kyrgyzstan,4.05
Lao People's Dem. Republic,4.7
Latvia,2.26
Lesotho,3.73
Liberia,4.58
Liechtenstein,2.26
Lithuania,2.38
Luxembourg,2.41
Madagascar,4.5
Malawi,4.28
Malaysia,4.57
Maldives,5.4
Mali,5.81
Malta,2.67
Martinique,2.25
Mauritania,5.77
Mauritius,3.48
Mayotte,4.05
Mexico,3.74
Monaco,2.13
Mongolia,3.63
Montenegro,3.29
Morocco,4.58
Mozambique,4.52
Myanmar,4.22
Namibia,4.24
Nepal,4.25
Netherlands,2.23
New Caledonia,..
New Zealand,2.6
Nicaragua,4.92
Niger,5.92
Nigeria,4.66
Norway,2.22
Oman,8.02
Pakistan,6.8
Palau,..
Panama,3.64
Papua New Guinea,5.43
Paraguay,3.87
Peru,3.46
Philippines,4.23
Poland,2.82
Portugal,2.58
Puerto Rico,2.67
Qatar,4.67
Republic of Korea,2.34
Republic of Moldova,2.89
Romania,2.67
Russian Federation,2.58
Rwanda,4.28
Réunion,2.64
Saint Barthélémy,2.42
Saint Helena,..
Saint Kitts and Nevis,..
Saint Lucia,2.89
Saint Pierre and Miquelon,2.26
Saint-Martin (French part),2.56
Samoa,6.6
Sao Tome and Principe,4.06
Senegal,8.66
Serbia,2.85
Seychelles,..
Sierra Leone,5.29
Singapore,2.95
Sint Maarten (Dutch part),2.58
Slovakia,2.9
Slovenia,2.47
Somalia,6.16
South Africa,3.36
South Sudan,5.98
Spain,2.58
State of Palestine,5.06
Sudan,5.89
Suriname,3.86
Switzerland,2.24
Syrian Arab Republic,5.65
TFYR Macedonia,3.45
Tajikistan,5.99
Thailand,2.84
Timor-Leste,5.27
Togo,4.35
Tokelau,5.24
Tonga,5.3
Trinidad and Tobago,..
Tunisia,3.89
Turkmenistan,5.22
Turks and Caicos Islands,2.37
Tuvalu,6.05
Türkiye,4.07
Uganda,4.87
Ukraine,2.53
United Kingdom,2.35
United Republic of Tanzania,4.85
United States of America,2.49
Uruguay,3.02
Uzbekistan,5.22
Vanuatu,5.08
Venezuela (Bolivarian Republic of),4.33
Viet Nam,3.44
Yemen,6.67
Zambia,5
Zimbabwe,4.02
